,Station Name,City,State,Network,Pricing,Open Date
29744,Bernardus Lodge - Tesla Destination,Carmel Valley,CA,Tesla Destination,Free,2015-08-19
2539,Real Goods Solar Living Center - Tesla Destination,Hopland,CA,Tesla Destination,Free,2015-08-19
3545,Champion Parking W 53rd Street - Tesla Destination,New York,NY,Tesla Destination,Free,2015-08-19
3940,Horseshoe Bay - Tesla Destination,Horseshoe Bay,TX,Tesla Destination,Free,2015-08-19
3568,Champion Parking W 76th Street - Tesla Destination,New York,NY,Tesla Destination,Free,2015-08-19
1000,EVSP WALGREENS STORE 6904,Redondo Beach,CA,ChargePoint Network,Free,2015-08-19
3071,Hampton Inn Cocoa Beach - Tesla Destination,Cocoa Beach,FL,Tesla Destination,Free,2015-08-20
10795,Courtyard by Marriott Cocoa Beach - Tesla Destination,Cocoa Beach,FL,Tesla Destination,Free,2015-08-20
1002,LIFESOURCE EV 1,Minneapolis,MN,ChargePoint Network,Free,2015-08-20
3635,GGMC Parking Carnegie Garage - Tesla Destination,New York,NY,Tesla Destination,Free,2015-08-21
3507,GGMC Parking 10 W 66th St Garage - Tesla Destination,New York,NY,Tesla Destination,Free,2015-08-21
3519,iPark NYC 1025 83rd - Tesla Destination,New York,NY,Tesla Destination,Free,2015-08-21
34350,Granite Properties - 100 Bayview,Newport Beach,CA,Blink Network,Free,2015-08-21
3677,GGMC Parking - 550 W 25th - Tesla Destination,New York,NY,Tesla Destination,Free,2015-08-21
3662,GGMC Parking 50 E 79th St Garage - Tesla Destination,New York,NY,Tesla Destination,Free,2015-08-21
2403,Beverly Hills Hotel - Tesla Destination,Beverly Hills,CA,Tesla Destination,Free,2015-08-21
2798,La Quinta Inn & Suites - Tesla Destination,San Diego,CA,Tesla Destination,Free,2015-08-25
1088,Ohio University - Lot 111,Athens,OH,Non-Networked,$0.75 per hour,2015-08-25
1090,Ohio University - Lot 147,Athens,OH,Non-Networked,$0.75 per hour,2015-08-25
1091,Ohio University - Lot 90,Athens,OH,Non-Networked,$0.75 per hour,2015-08-25
1089,Ohio University - Lot 132,Athens,OH,Non-Networked,$0.75 per hour,2015-08-25
1092,Ohio University - Baker Garage,Athens,OH,Non-Networked,$0.75 per hour,2015-08-25
5265,CFC Holly ST Lot,Bellingham,WA,Blink Network,FREE,2015-08-25
34669,DigitalGlobe,Westminster,CO,Blink Network,Free,2015-08-26
3019,Blue Lake Ranch - Tesla Destination,Hesperus,CO,Tesla Destination,Free,2015-08-27
1004,CHARGEPOINT T&C BAINBRIDGE,Bainbridge Island,WA,ChargePoint Network,Free,2015-08-27
5453,Salinas Super 8,Salinas,CA,Blink Network,FREE,2015-08-27
36035,Kaiser Oakland Admin - 410 19th St.,Oakland,CA,Blink Network,Free,2015-08-27
27238,Canyon Country Plaza,Canyon Country,CA,eVgo Network,Free,2015-08-28
10925,Wonderland Montessori Academy of Las Colinas - Tesla Destination,Irving,TX,Tesla Destination,Free,2015-08-28
6419,The Standard GNV,Gainesville,FL,Blink Network,FREE,2015-08-28
3968,Best Western Johnson City Inn - Tesla Destination,Johnson City,TX,Tesla Destination,Free,2015-08-28
1005,NORTH ST PAUL CITY HALL,North St Paul,MN,ChargePoint Network,Free,2015-08-29
3860,InterContinental Stephen F Austin Hotel - Tesla Destination,Austin,TX,Tesla Destination,Free,2015-08-31
3156,Little Palm Island Resort and Spa - Tesla Destination,Little Torch Key,FL,Tesla Destination,Free,2015-08-31
20357,El Centro Garage,Los Angeles,CA,Blink Network,$2.00-$5.00/Hr Variable Parking Fee,2015-08-31
1049,Woodland Joint Unified School District - Rhoda Maxwell Elementary School,Woodland,CA,Non-Networked,Free,2015-09-01
6779,Price Chopper,Binghamton,NY,Non-Networked,Free,2015-09-01
1047,Woodland Joint Unified School District - Woodland High School,Woodland,CA,Non-Networked,Free,2015-09-01
1045,Woodland Joint Unified School District - Zamora Elementary,Woodland,CA,Non-Networked,Free,2015-09-01
1030,Porsche and BMW of Ocala,Ocala,FL,Non-Networked,Free,2015-09-01
36054,Kaiser Antelope Valley,Lancaster,CA,Blink Network,Free,2015-09-01
20399,Kaiser Antelope Valley,Lancaster,CA,Blink Network,$1.35/Hr Parking Fee,2015-09-01
2672,Chateau du Sureau - Tesla Destination,Oakhurst,CA,Tesla Destination,Free,2015-09-01
1428,City of West Palm Beach - City Center Garage,West Palm Beach,FL,Non-Networked,Free,2015-09-01
1048,Woodland Joint Unified School District - District Office,Woodland,CA,Non-Networked,Free,2015-09-01
1051,Woodland Joint Unified School District - Tafoya Elementary,Woodland,CA,Non-Networked,Free,2015-09-01
1046,Woodland Joint Unified School District - Plainfield Elementary,Woodland,CA,Non-Networked,Free,2015-09-01
1050,Woodland Joint Unified School District - Whitehead Elementary,Woodland,CA,Non-Networked,Free,2015-09-01
2514,Grass Valley Courtyard Suites - Tesla Destination,Grass Valley,CA,Tesla Destination,Free,2015-09-02
20429,Apex 5516,Boulder,CO,Blink Network,FREE,2015-09-02
20276,Apex 5501,Boulder,CO,Blink Network,FREE,2015-09-02
3725,La Belle Vie Bed & Breakfast - Tesla Destination,Penn Yan,NY,Tesla Destination,Free,2015-09-02
5578,Metropolitan Luxury Community,Wilton Manor,FL,Blink Network,$1.00-$5.00/Hr Variable Parking Fee,2015-09-02
2473,Best Western Plus Dana Point Inn By The Sea - Tesla Destination,Dana Point,CA,Tesla Destination,Free,2015-09-03
4137,Sun Mountain Lodge - Tesla Destination,Winthrop,WA,Tesla Destination,Free,2015-09-03
1644,Mira Mesa Office Mall,San Diego,CA,Blink Network,Free,2015-09-04
5503,"CSHV Torrey Reserve West, LLC",San Diego,CA,Blink Network,$1.00-$5.00/Hr Variable Parking Fee,2015-09-04
1643,Mira Mesa - AT&T Building,San Diego,CA,Blink Network,Free,2015-09-04
34822,Granite Park Five,Plano,TX,Blink Network,Free,2015-09-08
2400,Luxe Rodeo Drive Hotel - Tesla Destination,Beverly Hills,CA,Tesla Destination,Free,2015-09-09
5411,531403 : Four Embarcadero Center,San Francisco,CA,Blink Network,$0.00-$6.00/Hr Variable Parking Fee,2015-09-09
2705,The Epiphany Hotel - Tesla Destination,Palo Alto,CA,Tesla Destination,Free,2015-09-10
6080,Ygnacio Plaza,Walnut Creek,CA,Volta,Free,2015-09-10
2726,CaliPaso Winery - Tesla Destination,Paso Robles,CA,Tesla Destination,Free,2015-09-10
4101,Cedarbrook Lodge - Tesla Destination,Seattle,WA,Tesla Destination,Free,2015-09-11
1006,INSIGNIA 953 EV216,Seattle,WA,ChargePoint Network,Free,2015-09-12
2930,Trinidad Bay Bed & Breakfast - Tesla Destination,Trinidad,CA,Tesla Destination,Free,2015-09-14
2878,Holiday Inn Express Solvang - Tesla Destination,Solvang,CA,Tesla Destination,Free,2015-09-14
20223,140 Cambridgepark Drive,Cambridge,MA,Blink Network,$1.50/Hr Parking Fee,2015-09-14
2507,David Coffaro Winery - Tesla Destination,Geyserville,CA,Tesla Destination,Free,2015-09-14
4069,Best Western Wesley Inn - Tesla Destination,Gig Harbor,WA,Tesla Destination,Free,2015-09-15
20504,Cain Garage - TAMU,College Station,TX,Blink Network,FREE,2015-09-15
1007,PLAYHOUSE BIT PLAYHOUSE 3,Pasadena,CA,ChargePoint Network,Free,2015-09-15
3247,Edgewater Beach & Golf Resort - Tesla Destination,Panama City Beach,FL,Tesla Destination,Free,2015-09-15
3986,Dunkin Donuts - Tesla Destination,McAllen,TX,Tesla Destination,Free,2015-09-15
36049,Kaiser Point West,Sacramento,CA,Blink Network,Free,2015-09-16
26122,Kaiser Point West,Sacramento,CA,Blink Network,$1.35/Hr Parking Fee,2015-09-16
20501,302 Fifth Street,San Pedro,CA,Blink Network,$1.00-$2.00/Hr Variable Parking Fee,2015-09-16
2776,DoubleTree by Hilton Los Angeles/Rosemead - Tesla Destination,Rosemead,CA,Tesla Destination,Free,2015-09-17
2875,Ayres Hotel - Seal Beach - Tesla Destination,Seal Beach,CA,Tesla Destination,Free,2015-09-17
23463,"Walgreens - Bainbridge Island, WA #15673",Bainbridge Island,WA,Blink Network,$2.00/Hr Parking Fee,2015-09-17
34363,431604 : Avalon Newcastle Commons,Newcastle,WA,Blink Network,Free,2015-09-17
2799,Fairmont Grand Del Mar Resort - Tesla Destination,San Diego,CA,Tesla Destination,Free,2015-09-17
3885,Best Western On The Island - Tesla Destination,Corpus Christi,TX,Tesla Destination,Free,2015-09-18
3423,iPark NYC 2234 North 6th - Tesla Destination,Brooklyn,NY,Tesla Destination,Free,2015-09-18
3292,Hotel Duval - Tesla Destination,Tallahassee,FL,Tesla Destination,Free,2015-09-18
1654,Haselwood Family YMCA Silverdale,Silverdale,WA,Blink Network,Free,2015-09-19
6056,Navajo Shopping Center,San Diego,CA,Volta,Free,2015-09-21
5391,Bear River Hotel,Loleta,CA,Blink Network,FREE,2015-09-24
4055,Hotel Bellwether - Tesla Destination,Bellingham,WA,Tesla Destination,Free,2015-09-24
3667,GGMC Parking 51-53 E 76th St Carlyle Hotel - Tesla Destination,New York,NY,Tesla Destination,Free,2015-09-25
3625,"The Carlyle Hotel, A Rosewood Hotel - Tesla Destination",New York,NY,Tesla Destination,Free,2015-09-25
2498,Ayres Hotel - Fountain Valley - Tesla Destination,Fountain Valley,CA,Tesla Destination,Free,2015-09-25
3573,GGMC Parking Seven Eleven (Located at 217 E 44th St) - Tesla Destination,New York,NY,Tesla Destination,Free,2015-09-25
27169,Clovis Commons,Clovis,CA,eVgo Network,Free,2015-09-25
3378,Hyatt Regency Minneapolis - Tesla Destination,Minneapolis,MN,Tesla Destination,Free,2015-09-25
4134,Corvus Cellars - Tesla Destination,Walla Walla,WA,Tesla Destination,Free,2015-09-28
4121,The Davenport Grand Hotel - Tesla Destination,Spokane,WA,Tesla Destination,Free,2015-09-28
29751,Bear Valley Lodge - Tesla Destination,Bear Valley,CA,Tesla Destination,Free,2015-09-28
36051,Kaiser Irvine Medical Center,Irvine,CA,Blink Network,Free,2015-09-28
1029,UWB CASCADIA CC SOUTH L 3 N,Bothell,WA,ChargePoint Network,Free,2015-09-29
1028,UWB CASCADIA CC TRULY HOUSE #1,Bothell,WA,ChargePoint Network,Free,2015-09-29
5612,American Airlines Arena,Miami,FL,Blink Network,FREE,2015-09-29
36038,Kaiser Oakland Admin - 1800 Harrison,Oakland,CA,Blink Network,Free,2015-09-29
3908,Wildwood Inn - Tesla Destination,Denton,TX,Tesla Destination,Free,2015-09-29
10829,Hyatt Regency La Jolla at Aventine - Tesla Destination,San Diego,CA,Tesla Destination,Free,2015-09-29
4075,Mountain Springs Lodge - Tesla Destination,Leavenworth,WA,Tesla Destination,Free,2015-09-30
6053,Point Loma Plaza Vons,San Diego,CA,Volta,Free,2015-09-30
3014,Gateway Canyons Resort & Spa - Tesla Destination,Gateway,CO,Tesla Destination,Free,2015-09-30
1033,Round Rock Kia,Round Rock,TX,Non-Networked,Free,2015-10-01
27118,The Oaks Mall,Thousand Oaks,CA,eVgo Network,Free,2015-10-01
4680,MNRRA Stations,Minneapolis,MN,Non-Networked,Free,2015-10-01
903,Jamestown Community College,Jamestown,NY,EV Connect,Free,2015-10-01
1199,Massachusetts Department of Environmental Protection - Southeast Region Main Office,Lakeville,MA,Non-Networked,Free,2015-10-01
2125,Rayzor Ranch Marketplace - Tesla Supercharger,Denton,TX,Tesla,Free,2015-10-01
2080,The Spot Restaurant - Tesla Supercharger,Binghamton,NY,Tesla,Free,2015-10-01
6074,The Oaks Macy's Women,Thousand Oaks,CA,Volta,Free,2015-10-01
1174,Heart of the Rockies Regional Medical Center,Salida,CO,Non-Networked,Free,2015-10-01
2075,Tobies Restaurant - Tesla Supercharger,Hinckley,MN,Tesla,Free,2015-10-01
4129,Dunham Wine Cellars - Tesla Destination,Walla Walla,WA,Tesla Destination,Free,2015-10-01
1801,Cerritos Performing Arts Ctr,Cerritos,CA,SHELL_RECHARGE,Free,2015-10-01
1642,WestBend Parking Garage (3rd Floor),Fort Worth,TX,Blink Network,Free,2015-10-02
307,ACC ROUNDROCK STAT4,Round Rock,TX,ChargePoint Network,Free,2015-10-02
906,PIE AE PALMER STATION4,Austin,TX,ChargePoint Network,Free,2015-10-02
284,PIE AE PUB-STDAVIDSST1,Austin,TX,ChargePoint Network,Free,2015-10-02
1673,Ruggles Green - The Woodlands,The Woodlands,TX,Blink Network,Free,2015-10-02
1672,Ruggles Green - Houston Heights,Houston,TX,Blink Network,Free,2015-10-02
1665,14th/J Parking Lot,Plano,TX,Blink Network,Free,2015-10-02
1662,West Irving Library,Irving,TX,Blink Network,Free,2015-10-02
1661,Original Pancake House - Grapevine,Grapevine,TX,Blink Network,Free,2015-10-02
1645,Oak Point Rec Center - Plano,Plano,TX,Blink Network,Free,2015-10-02
4054,Hilton Bellevue - Tesla Destination,Bellevue,WA,Tesla Destination,Free,2015-10-02
1647,George Bush Airport (IAH) Terminal Garage D/E - 3rd Floor,Houston,TX,Blink Network,Free,2015-10-02
1660,Irving Convention Center,Irving,TX,Blink Network,Free,2015-10-02
1648,Carrier Enterprise HQ,Carrollton,TX,Blink Network,Free,2015-10-02
1659,HOBBY Airport (HOU)-- ecopark Lot 2,Houston,TX,Blink Network,Free,2015-10-02
1653,Maribelle Davis Library,Plano,TX,Blink Network,Free,2015-10-02
2567,Ayres Hotel - Laguna Woods - Tesla Destination,Laguna Woods,CA,Tesla Destination,Free,2015-10-02
1651,Hermann Park Golf Course Parking Lot,Houston,TX,Blink Network,Free,2015-10-02
91,BROOKFIELD PROP 300 CLAY STAT1,Houston,TX,ChargePoint Network,Free,2015-10-02
412,WHOLE FOODS MKT BEE CAVE ST1,Bee Cave,TX,ChargePoint Network,Free,2015-10-02
1683,Sun Metro Westside,El Paso,TX,Blink Network,Free,2015-10-02
1698,Twin Peaks Mesquite,Mesquite,TX,Blink Network,Free,2015-10-02
767,PIE AE PUBPEARSON CTR1,Austin,TX,ChargePoint Network,Free,2015-10-02
720,BMW OF DALLAS STATION 1CT4013,Dallas,TX,ChargePoint Network,Free,2015-10-02
1697,Irving City Hall,Irving,TX,Blink Network,Free,2015-10-02
1040,HPI 3700 3900 SC 3,Austin,TX,ChargePoint Network,Free,2015-10-02
1689,Comfort Suites - Las Colinas Center,Irving,TX,Blink Network,Free,2015-10-02
709,PIE AE PUBHILL.CGAL1,Bee Cave,TX,ChargePoint Network,Free,2015-10-02
1700,George Bush Airport (IAH) Terminal Garage C - 4th Floor,Houston,TX,Blink Network,Free,2015-10-02
1715,Bishop Arts District - 7th Street Parking Lot,Dallas,TX,Blink Network,Free,2015-10-02
1684,Twin Peaks Frisco,Frisco,TX,Blink Network,Free,2015-10-02
651,PIE AE ERCOT 3,Austin,TX,ChargePoint Network,Free,2015-10-02
1717,YMCA - McKinney #62,McKinney,TX,Blink Network,Free,2015-10-02
1692,Whiskey Cake Kitchen & Bar - Plano,Plano,TX,Blink Network,Free,2015-10-02
919,PEARL CIA GARAGE F2-2,San Antonio,TX,ChargePoint Network,Free,2015-10-02
1718,YMCA - Frisco #61,Frisco,TX,Blink Network,Free,2015-10-02
1636,Original Pancake House - Addison,Dallas,TX,Blink Network,Free,2015-10-02
1690,YMCA - Lake Highlands #37,Dallas,TX,Blink Network,Free,2015-10-02
36060,Main Location,Los Angeles,CA,Blink Network,Free,2015-10-05
10911,Tours in the Glades - Tesla Destination,Florida City,FL,Tesla Destination,Free,2015-10-05
20279,Kaiser Richmond,Richmond,CA,Blink Network,$1.35/Hr Parking Fee,2015-10-05
10892,Sun Air Jets - Tesla Destination,Camarillo,CA,Tesla Destination,Free,2015-10-05
36029,Kaiser Richmond,Richmond,CA,Blink Network,Free,2015-10-05
34723,Dupont IB,Palo Alto,CA,Blink Network,Free,2015-10-06
2669,Island Hotel - Tesla Destination,Newport Beach,CA,Tesla Destination,Free,2015-10-06
3183,1 Hotel South Beach - Tesla Destination,Miami Beach,FL,Tesla Destination,Free,2015-10-06
4052,Marriott Bellevue - Tesla Destination,Bellevue,WA,Tesla Destination,Free,2015-10-06
3638,iPark NYC 400 E 35th NYU - Tesla Destination,New York,NY,Tesla Destination,Free,2015-10-07
2955,Hampton Inn & Suites Windsor - Sonoma Wine Country - Tesla Destination,Windsor,CA,Tesla Destination,Free,2015-10-07
2968,The Gant - Tesla Destination,Aspen,CO,Tesla Destination,Free,2015-10-08
3044,Manor Vail Lodge - Tesla Destination,Vail,CO,Tesla Destination,Free,2015-10-08
34713,Granite Tower,Dallas,TX,Blink Network,Free,2015-10-09
3880,Hampton Inn & Suites Lake Jackson-Clute - Tesla Destination,Clute,TX,Tesla Destination,Free,2015-10-12
29752,Ayres Hotel & Spa - Mission Viejo - Tesla Destination,Mission Viejo,CA,Tesla Destination,Free,2015-10-12
1041,Grace Place,Berthoud,CO,Non-Networked,Free,2015-10-12
3879,Holiday Inn Express Hotel & Suites Clute Southwest - Tesla Destination,Clute,TX,Tesla Destination,Free,2015-10-12
27282,Trader Joe's,Culver City,CA,eVgo Network,Free,2015-10-13
5374,Chapel Bridge Park,Newton,MA,Blink Network,$0.99-$5.00/Hr Variable Parking Fee,2015-10-13
32021,560 Mission Street,San Francisco,CA,Blink Network,Free,2015-10-13
2745,Sheraton Sonoma County-Petaluma - Tesla Destination,Petaluma,CA,Tesla Destination,Free,2015-10-14
10782,Big Canyon Country Club - Tesla Destination,Newport Beach,CA,Tesla Destination,Free,2015-10-14
2898,Corison Winery - Tesla Destination,Saint Helena,CA,Tesla Destination,Free,2015-10-14
34367,BSREP II UCC III Holding LLC,Orlando,FL,Blink Network,Free,2015-10-14
11148,The St. Regis,New York,NY,Blink Network,FREE,2015-10-16
4099,Motif Seattle - Tesla Destination,Seattle,WA,Tesla Destination,Free,2015-10-16
2685,Ayres Hotel - Orange - Tesla Destination,Orange,CA,Tesla Destination,Free,2015-10-19
4040,Hampton Inn Vernon - Tesla Destination,Vernon,TX,Tesla Destination,Free,2015-10-20
3143,The Gates Hotel - Tesla Destination,Key West,FL,Tesla Destination,Free,2015-10-20
9805,Clive Daniel Station Location,Boca Raton,FL,Blink Network,$0.00-$4.00/Hr Variable Parking Fee,2015-10-20
2526,Hotel Healdsburg - Tesla Destination,Healdsburg,CA,Tesla Destination,Free,2015-10-21
2451,Oxford Suites Chico - Tesla Destination,Chico,CA,Tesla Destination,Free,2015-10-21
10884,Silo Ridge - Tesla Destination,Amenia,NY,Tesla Destination,Free,2015-10-21
6075,South Bay Village,Torrance,CA,Volta,Free,2015-10-21
2510,Valley of the Moon Winery - Tesla Destination,Glen Ellen,CA,Tesla Destination,Free,2015-10-21
36055,Kaiser San Rafael,San Rafael,CA,Blink Network,Free,2015-10-21
20228,Kaiser San Rafael,San Rafael,CA,Blink Network,$1.35/Hr Parking Fee,2015-10-21
3837,Hilton Garden Inn - Tesla Destination,Abilene,TX,Tesla Destination,Free,2015-10-22
34750,The Jetty at Newport Beach OA,Newport Beach,CA,Blink Network,Free,2015-10-22
5397,Harbor Center,Suisun City,CA,Blink Network,"$0.00-$1.00/Hr Variable Parking Fee, $0.21/kWh Energy Fee",2015-10-22
19921,10 St James Parking Garage,Boston,MA,Blink Network,$1.25-$5.00/Hr Variable Parking Fee,2015-10-22
2990,Cutter Aviation Colorado Springs - Tesla Destination,Colorado Springs,CO,Tesla Destination,Free,2015-10-23
2386,Anaheim Marriott - Tesla Destination,Anaheim,CA,Tesla Destination,Free,2015-10-23
3917,Cutter Aviation El Paso - Tesla Destination,El Paso,TX,Tesla Destination,Free,2015-10-23
10876,Rochester Institute of Technology - Tesla Destination,Rochester,NY,Tesla Destination,Free,2015-10-27
1057,PUBLIC STATIONS NORTH MISS PARK,Minneapolis,MN,ChargePoint Network,Free,2015-10-27
2535,"Twomey Cellars, Healdsburg - Tesla Destination",Healdsburg,CA,Tesla Destination,Free,2015-10-27
5285,The Commons at Ballard,Seattle,WA,Blink Network,"$0.00-$1.50/Hr Variable Parking Fee, $0.15/kWh Energy Fee",2015-10-27
2865,Martin Ray Winery - Tesla Destination,Santa Rosa,CA,Tesla Destination,Free,2015-10-27
2487,Carter House Inns and Restaurant 301 - Tesla Destination,Eureka,CA,Tesla Destination,Free,2015-10-27
2466,Ayres Suites - Costa Mesa - Tesla Destination,Costa Mesa,CA,Tesla Destination,Free,2015-10-27
10854,Napa Jet Center - Tesla Destination,Napa,CA,Tesla Destination,Free,2015-10-27
34324,(Public P1) Commons at Ballard,Seattle,WA,Blink Network,Free,2015-10-28
3399,Lutsen Resort - Tesla Destination,Tofte,MN,Tesla Destination,Free,2015-10-28
6022,Village at La Floresta,Brea,CA,Volta,Free,2015-10-28
5382,100 High Street,Boston,MA,Blink Network,$1.00/Hr Parking Fee,2015-10-28
10916,University of Massachusetts Medical School - Tesla Destination,Worcester,MA,Tesla Destination,Free,2015-10-30
6083,Gelson's Westlake,Westlake Village,CA,Volta,Free,2015-10-30
1804,Pioneer Commerce Center,Truckee,CA,SHELL_RECHARGE,Free,2015-11-01
1476,Motel 6,Huron,OH,Non-Networked,Free,2015-11-01
2022,The Rock - Tesla Supercharger,Truckee,CA,Tesla,Free,2015-11-01
1805,Truckee Train Depot,Truckee,CA,SHELL_RECHARGE,Free,2015-11-01
1018,Los Angeles Zoo,Los Angeles,CA,Non-Networked,Free,2015-11-01
1958,Burbank Town Center - Tesla Supercharger,Burbank,CA,Tesla,Free,2015-11-01
1239,G&S Titanium,Wooster,OH,Non-Networked,Free,2015-11-01
2803,La Jolla Shores Hotel - Tesla Destination,San Diego,CA,Tesla Destination,Free,2015-11-02
2792,La Jolla Beach & Tennis Club - Tesla Destination,San Diego,CA,Tesla Destination,Free,2015-11-02
2813,Hilton San Francisco Union Square - Tesla Destination,San Francisco,CA,Tesla Destination,Free,2015-11-02
36949,UCSD - OMS PARKING,San Diego,CA,ChargePoint Network,$0.30-0.35/kWh and $0.30/kWh on weekends,2015-11-03
2566,The Ranch at Laguna Beach - Tesla Destination,Laguna Beach,CA,Tesla Destination,Free,2015-11-03
36950,UCSD - S MESA,San Diego,CA,ChargePoint Network,$0.30-0.35/kWh and $0.30/kWh on weekends,2015-11-03
3864,Four Seasons Hotel Austin - Tesla Destination,Austin,TX,Tesla Destination,Free,2015-11-03
36043,Kaiser Sacramento Morse,Sacramento,CA,Blink Network,Free,2015-11-03
3153,Embassy Suites Orlando LBVS - Tesla Destination,Kissimmee,FL,Tesla Destination,Free,2015-11-04
3915,Best Western Plus Duncanville/Dallas - Tesla Destination,Duncanville,TX,Tesla Destination,Free,2015-11-04
2756,Bella Vista Bed & Breakfast Inc. - Tesla Destination,Placerville,CA,Tesla Destination,Free,2015-11-04
1064,LIBERTY CENTER CHEESECAKE 1,Mason,OH,ChargePoint Network,Free,2015-11-04
2996,Century Casino Cripple Creek - Tesla Destination,Cripple Creek,CO,Tesla Destination,Free,2015-11-05
34354,431506 : Avalon Campbell 3,Campbell,CA,Blink Network,Free,2015-11-06
10924,Wonderland Montessori Academy of Flower mound - Tesla Destination,Flower Mound,TX,Tesla Destination,Free,2015-11-06
10926,Wonderland Montessori Academy of Mckinney - Tesla Destination,McKinney,TX,Tesla Destination,Free,2015-11-06
27217,Gelson's Village,Calabasas,CA,eVgo Network,Free,2015-11-07
36037,Kaiser Pleasanton,Pleasanton,CA,Blink Network,Free,2015-11-09
3050,Bal Harbour Shops - Parking Garage - Tesla Destination,Bal Harbour,FL,Tesla Destination,Free,2015-11-09
3792,Hilton Columbus Downtown - Tesla Destination,Columbus,OH,Tesla Destination,Free,2015-11-09
3095,A1A Motel - Tesla Destination,Flagler Beach,FL,Tesla Destination,Free,2015-11-09
3327,Residence Inn by Marriott - Tesla Destination,Chicopee,MA,Tesla Destination,Free,2015-11-10
1065,SUNY ONEONTA SUNY ONEONTA,Oneonta,NY,ChargePoint Network,Free,2015-11-10
36039,Kaiser Panorama City,Panorama City,CA,Blink Network,Free,2015-11-10
4094,Seattle Marriott Redmond - Tesla Destination,Redmond,WA,Tesla Destination,Free,2015-11-10
3791,Hilton Columbus at Easton - Tesla Destination,Columbus,OH,Tesla Destination,Free,2015-11-10
5471,Kaiser La Habra MOB,La Habra,CA,Blink Network,$1.35/Hr Parking Fee,2015-11-11
36036,Kaiser La Habra MOB,La Habra,CA,Blink Network,Free,2015-11-11
20319,"Walgreens - Bothell, WA #6614",Bothell,WA,Blink Network,$2.00/Hr Parking Fee,2015-11-11
2482,Embassy Suites by Hilton - LAX South - Tesla Destination,El Segundo,CA,Tesla Destination,Free,2015-11-11
3883,Homewood Suites by Hilton College Station - Tesla Destination,College Station,TX,Tesla Destination,Free,2015-11-11
3884,Hotel Faust - Tesla Destination,Comfort,TX,Tesla Destination,Free,2015-11-12
20325,1600 Seventh,Seattle,WA,Blink Network,$1.80/Hr Parking Fee,2015-11-12
3437,GGMC Parking 75 Smith St Garage - Tesla Destination,Brooklyn,NY,Tesla Destination,Free,2015-11-13
3605,Parkit 301 E 64th - Tesla Destination,New York,NY,Tesla Destination,Free,2015-11-13
3603,Parkright 300 E 77th St - Tesla Destination,New York,NY,Tesla Destination,Free,2015-11-13
3597,Parkright 39 E 29th Street - Tesla Destination,New York,NY,Tesla Destination,Free,2015-11-13
3623,iPark NYC 345 East Garage - Tesla Destination,New York,NY,Tesla Destination,Free,2015-11-13
3592,Parkit 27 N Moore Street - Tesla Destination,New York,NY,Tesla Destination,Free,2015-11-13
3508,GGMC Parking Union Square Parking Garage - Tesla Destination,New York,NY,Tesla Destination,Free,2015-11-13
3615,Icon Parking E 48th Street - Tesla Destination,New York,NY,Tesla Destination,Free,2015-11-13
3576,Parkit 221 Thompson Street - Tesla Destination,New York,NY,Tesla Destination,Free,2015-11-13
3695,Parkright 670 W 43rd Street - Tesla Destination,New York,NY,Tesla Destination,Free,2015-11-13
3420,Parkright 257 Gold Street - Tesla Destination,Brooklyn,NY,Tesla Destination,Free,2015-11-13
3435,GGMC Parking 66 Rockwell Pl Garage - Tesla Destination,Brooklyn,NY,Tesla Destination,Free,2015-11-13
3670,Icon Parking E 88th Street - Tesla Destination,New York,NY,Tesla Destination,Free,2015-11-13
36040,Kaiser Anaheim,Anaheim,CA,Blink Network,Free,2015-11-16
6051,The Hub Hillcrest Market,San Diego,CA,Volta,Free,2015-11-16
3098,Hyatt Regency Pier Sixty Six - Tesla Destination,Fort Lauderdale,FL,Tesla Destination,Free,2015-11-16
3142,24 North Hotel - Tesla Destination,Key West,FL,Tesla Destination,Free,2015-11-16
3242,Hilton Garden Inn Palm Beach Gardens - Tesla Destination,Palm Beach Gardens,FL,Tesla Destination,Free,2015-11-17
2985,Grand Timber Lodge - Tesla Destination,Breckenridge,CO,Tesla Destination,Free,2015-11-18
2496,Super 8 Motel Fortuna - Tesla Destination,Fortuna,CA,Tesla Destination,Free,2015-11-18
3731,Jedediah Hawkins Inn - Tesla Destination,Riverhead,NY,Tesla Destination,Free,2015-11-18
36050,Kaiser Woodland Hills,Woodland Hills,CA,Blink Network,Free,2015-11-18
27255,Flyers Gas Station,Ceres,CA,eVgo Network,Free,2015-11-18
3145,Hilton Garden Inn Key West / The Keys Collection - Tesla Destination,Key West,FL,Tesla Destination,Free,2015-11-19
5413,Kaiser San Leandro,San Leandro,CA,Blink Network,$1.35/Hr Parking Fee,2015-11-19
2474,Best Western Danville Sycamore Inn - Tesla Destination,Danville,CA,Tesla Destination,Free,2015-11-19
3146,Fairfield Inn & Suites Key West - Tesla Destination,Key West,FL,Tesla Destination,Free,2015-11-19
2718,Niner Wine Estates - Tesla Destination,Paso Robles,CA,Tesla Destination,Free,2015-11-19
36045,Kaiser San Leandro,San Leandro,CA,Blink Network,Free,2015-11-19
2810,"Hotel Kabuki, a Joie de Vivre Hotel - Tesla Destination",San Francisco,CA,Tesla Destination,Free,2015-11-20
