,Station Name,City,State,Network,Pricing,Open Date
89,Avista Corp,Spokane,WA,Non-Networked,Free,2010-04-15
410,Amador Transit,Sutter Creek,CA,Non-Networked,Free,2010-04-30
93,Goleta Mechanics Bank,Goleta,CA,Non-Networked,Free,2010-07-15
107,Charles Hotel - Harvard Square,Cambridge,MA,Non-Networked,Free,2010-09-13
92,Hudson Valley Community College - TEC-SMART Building,Malta,NY,Non-Networked,Free,2010-10-15
105,Denver International Airport - Canopy Airport Parking,Commerce City,CO,Non-Networked,Free,2010-10-19
101,Toyota of Santa Monica,Santa Monica,CA,Non-Networked,Free,2010-11-15
104,City of Santa Monica - Civic Parking Garage,Santa Monica,CA,Non-Networked,Free,2010-11-15
96,BELLEVUE BELLEVUE CH 1,Bellevue,WA,ChargePoint Network,Free,2010-12-15
94,Baker Electric Building,Cleveland,OH,Non-Networked,Free,2010-12-15
830,Town Nissan,East Wenatchee,WA,Non-Networked,Free,2010-12-17
123,Clay Cooley Nissan,Dallas,TX,Non-Networked,Free,2010-12-30
2243,City of Hilliard - Center Street,Hilliard,OH,Non-Networked,Free,2011-01-01
112,Clay Cooley Nissan,Austin,TX,Non-Networked,Free,2011-01-15
97,Courtyard Marriott - Hadley Amherst,Hadley,MA,Non-Networked,Free,2011-01-15
102,Parc 55 Hotel,San Francisco,CA,Non-Networked,Free,2011-02-01
756,Lake Merritt Tower,Oakland,CA,Non-Networked,Free; parking fee,2011-02-01
103,Beach & Hyde Garage,San Francisco,CA,Non-Networked,Free,2011-02-01
666,3M Center,Maplewood,MN,Non-Networked,Free,2011-02-11
72,Los Angeles International Airport (LAX) - Lot 1,Los Angeles,CA,Non-Networked,$2 service fee + $0.45 per kWh,2011-02-15
86,OUC RELIABLE 01,Orlando,FL,ChargePoint Network,Free,2011-02-15
317,Tremont Street Garage,Denver,CO,Non-Networked,Free,2011-02-28
728,Mountain View Chevrolet,Upland,CA,Non-Networked,Free; Maximum session time of 4 hours,2011-03-07
213,Nissan of Downtown Los Angeles,Los Angeles,CA,Non-Networked,Free,2011-03-15
219,Metro Nissan of Redlands,Redlands,CA,Non-Networked,Free,2011-03-15
215,Razzari Nissan,Merced,CA,Non-Networked,Free,2011-03-15
216,Nissan of Mission Hills,Mission Hills,CA,Non-Networked,Free,2011-03-15
217,Central Valley Nissan,Modesto,CA,Non-Networked,Free,2011-03-15
214,Universal City Nissan,Los Angeles,CA,Non-Networked,Free,2011-03-15
228,Crown Nissan,Redding,CA,Non-Networked,Free,2011-03-15
220,Napa Nissan,Napa,CA,Non-Networked,Free,2011-03-15
221,Mossy Nissan,National City,CA,Non-Networked,Free,2011-03-15
223,Stadium Nissan,Orange,CA,Non-Networked,Free,2011-03-15
212,Torre Nissan,La Quinta,CA,Non-Networked,Free,2011-03-15
224,Team Nissan,Oxnard,CA,Non-Networked,Free,2011-03-15
225,Antelope Valley Nissan,Palmdale,CA,Non-Networked,Free,2011-03-15
226,North Bay Nissan,Petaluma,CA,Non-Networked,Free,2011-03-15
227,Mossy Nissan - Poway,Poway,CA,Non-Networked,Free,2011-03-15
191,Hanlees Nissan,Davis,CA,Non-Networked,Free,2011-03-15
